N,k,avgTime
100,1,692
100,5,2068
100,10,2998
100,20,3941
100,50,5025
100,100,3366
500,1,1303
500,5,5684
500,10,8603
500,20,12360
500,50,18581
500,100,23175
1000,1,1688
1000,5,7489
1000,10,13092
1000,20,18251
1000,50,28819
1000,100,37032
5000,1,2954
5000,5,17308
5000,10,31575
5000,20,49720
5000,50,79352
5000,100,109692
10000,1,3879
10000,5,24455
10000,10,49026
10000,20,76888
10000,50,138296
10000,100,183106
100000,1,10774
100000,5,76393
100000,10,152224
100000,20,264252
100000,50,474670
100000,100,650527
